---config@码表分类=主码-3
---config@码表别名=三级简码
莪	atr#序55000
萎	atv#序55000
蘩	atx#序55000
臧	aua#序55000
蒴	aub#序55000
菩	auk#序55000
茨	auq#序55000
茭	aur#序55000
薪	aus#序55000
蒺	aut#序55000
蒹	auv#序55000
蔺	auw#序55000
菇	avd#序55000
荨	avf#序55000
萧	avh#序55000
茹	avk#序55000
芄	avy#序55000
苍	awb#序55000
蓊	awc#序55000
茯	awd#序55000
蔡	awf#序55000
葵	awg#序55000
莜	awh#序55000
芥	awj#序55000
葆	awk#序55000
巷	awn#序55000
茶	aws#序55000
荏	awt#序55000
莅	awu#序55000
芬	awv#序55000
巫	aww#序55000
花	awx#序55000
恐	awy#序55000
荭	axa#序55000
荮	axf#序55000
莼	axg#序55000
蕴	axj#序55000
芗	axt#序55000
芘	axx#序55000
茺	ayc#序55000
苄	ayh#序55000
蔼	ayj#序55000
蓑	ayk#序55000
蒿	aym#序55000
芦	ayn#序55000
葶	ayp#序55000
鸢	ayq#序55000
蓠	ayr#序55000
蔟	ayt#序55000
蒂	ayu#序55000
莨	ayv#序55000
萃	ayw#序55000
蓄	ayx#序55000
陬	bbc#序55000
陉	bca#序55000
聂	bcc#序55000
聚	bci#序55000
盈	bcl#序55000
娶	bcv#序55000
隋	bda#序55000
随	bde#序55000
陌	bdj#序55000
颇	bdm#序55000
陇	bdx#序55000
阻	beg#序55000
孺	bfd#序55000
陡	bfh#序55000
阱	bfj#序55000
阮	bfq#序55000
陵	bfw#序55000
陆	bgb#序55000
耳	bgh#序55000
隔	bgk#序55000
陋	bgm#序55000
阢	bgq#序55000
陕	bgu#序55000
蚩	bhg#序55000
骘	bhh#序55000
鼐	bhn#序55000
函	bib#序55000
卺	big#序55000
隙	bij#序55000
逊	bip#序55000
陧	bjf#序55000
隅	bjm#序55000
隰	bjx#序55000
亟	bkc#序55000
聩	bkh#序55000
陨	bkm#序55000
勐	ble#序55000
隈	blg#序55000
祟	bmf#序55000
聘	bmg#序55000
粜	bmo#序55000
院	bpf#序55000
耽	bpq#序55000
聍	bps#序55000
陀	bpx#序55000
陷	bqe#序55000
孢	bqn#序55000
聊	bqt#序55000
隐	bqv#序55000
阪	brc#序55000
隍	brg#序55000
隗	brq#序55000
陴	brt#序55000
聒	btd#序55000
阡	btf#序55000
隆	btg#序55000
阼	bth#序55000
隧	bue#序55000
障	buj#序55000
陪	buk#序55000
隘	buw#序55000
附	bwf#序55000
除	bwg#序55000
阶	bwj#序55000
聆	bwy#序55000
孩	byn#序55000
颈	cad#序55000
劲	cae#序55000
迳	cap#序55000
巯	cay#序55000
又	ccc#序55000
叁	cdd#序55000
毵	cde#序55000
畚	cdl#序55000
犄	cds#序55000
勇	cee#序55000
通	cep#序55000
熊	cex#序55000
犊	cfn#序55000
驱	cga#序55000
骤	cgb#序55000
驭	cgc#序55000
骑	cgd#序55000
驵	cge#序55000
骊	cgg#序55000
骒	cgj#序55000
驯	cgk#序55000
骡	cgl#序55000
骋	cgm#序55000
骣	cgn#序55000
驼	cgp#序55000
驹	cgq#序55000
驳	cgr#序55000
骠	cgs#序55000
骄	cgt#序55000
骈	cgu#序55000
验	cgw#序55000
驴	cgy#序55000
邰	ckb#序55000
怠	ckn#序55000
炱	cko#序55000
迨	ckp#序55000
巴	cnh#序55000
鸡	cqg#序55000
欢	cqw#序55000
牿	ctf#序55000
牲	ctg#序55000
犍	cvg#序55000
皴	cwt#序55000
蚤	cyj#序55000
犒	cym#序55000
犏	cyn#序55000
砑	dah#序55000
礴	dai#序55000
厝	daj#序55000
砸	dam#序55000
碟	dan#序55000
礞	dap#序55000
奁	dar#序55000
硗	dat#序55000
砌	dav#序55000
礤	daw#序55000
硭	day#序55000
顾	dbd#序55000
础	dbm#序55000
磉	dcc#序55000
碜	dcd#序55000
码	dcg#序55000
雄	dcw#序55000
磊	ddd#序55000
碱	ddg#序55000
厦	ddh#序55000
厣	ddl#序55000
硕	ddm#序55000
