---config@码表分类=主码-系统码表
---config@码表别名=系统码表
莇	aege#序16183
苴	aegf#序16182
巭	aegu#序16181
藇	aegw#序16180
蓃	aehc#序16179
苚	aej#序16178
薶	aejf#序16177
﨟	aejn#序16176
茄	aekf#序16175
虋	aemv#序16174
䕟	aemw#序16173
蕣	aepg#序16172
薆	aept#序16171
萖	aeqb#序16170
葋	aeqk#序16169
蕮	aeqo#序16168
艻	aer#序16167
藐	aerq#序16166
䔕	aesu#序16164
菜	aesu#序16165
㣉	aet#序16162
功	aet#序16163
䔄	aetb#序16161
葄	aetf#序16160
蘨	aeti#序16159
蔿	aeto#序16158
散	aety#序16157
蕂	aeue#序16156
䕨	aeui#序16154
藤	aeui#序16155
虅	aeuo#序16153
荽	aevf#序16152
㔱	aewi#序16151
苏	aewu#序16150
萸	aewu#序16149
蒵	aexd#序16148
䩸	afab#序16146
鞯	afab#序16147
韄	afac#序16145
鞴	afae#序16144
䪇	afaf#序16142
鞲	afaf#序16143
鞾	afag#序16141
䩽	afak#序16139
鞳	afak#序16140
韊	afal#序16138
蕡	afam#序16137
靾	afan#序16136
韉	afao#序16135
鞢	afas#序16134
䪄	afaw#序16132
韈	afaw#序16133
䕙	afay#序16131
䩶	afbj#序16130
靸	afby#序16129
鞁	afby#序16128
蓋	afcl#序16127
靶	afcn#序16126
䩻	afco#序16125
鞣	afcs#序16124
䒧	afcu#序16121
芰	afcu#序16122
芸	afcu#序16123
靫	afcy#序16120
䩨	afde#序16119
䩴	afde#序16118
䩬	afdg#序16117
薷	afdj#序16116
䩭	afdk#序16115
鞑	afdp#序16114
䩡	afdw#序16113
蘎	afec#序16112
鞵	afed#序16111
鞱	afee#序16110
䩗	afeg#序16108
靻	afeg#序16109
勒	afet#序16107
鞖	afev#序16106
芏	aff#序16104
苷	aff#序16105
蕓	affc#序16103
茥	afff#序16100
葑	afff#序16101
鞋	afff#序16102
靯	affg#序16099
靬	affh#序16098
鞊	affk#序16097
